name,company,year,Price,kms_driven,fuel_type
Maruti Suzuki Alto,Maruti,2015,250000,60000,Petrol
Maruti Suzuki Stingray,Maruti,2015,315000,30000,Petrol
Maruti Suzuki Alto,Maruti,2014,160000,35550,Petrol
Maruti Suzuki Alto,Maruti,2015,75000,39000,Petrol
Maruti Suzuki Alto,Maruti,2017,190000,72000,Petrol
Maruti Suzuki Vitara,Maruti,2016,290000,15975,Diesel
Maruti Suzuki Alto,Maruti,2008,95000,70000,Petrol
Maruti Suzuki Swift,Maruti,2014,385000,35522,Diesel
Maruti Suzuki Swift,Maruti,2017,180000,15487,Petrol
Maruti Suzuki Wagon,Maruti,2013,105000,39000,Petrol
Maruti Suzuki Wagon,Maruti,2013,105000,39000,Petrol
Maruti Suzuki Baleno,Maruti,2017,549000,32000,Diesel
Maruti Suzuki Alto,Maruti,2015,250000,60000,Petrol
Maruti Suzuki Dzire,Maruti,2013,349999,46000,Diesel
Maruti Suzuki SX4,Maruti,2010,249999,36000,Petrol
Maruti Suzuki Swift,Maruti,2014,385000,35522,Diesel
Maruti Suzuki Swift,Maruti,2017,180000,15487,Petrol
Maruti Suzuki Wagon,Maruti,2013,105000,39000,Petrol
Maruti Suzuki Wagon,Maruti,2013,105000,39000,Petrol
Maruti Suzuki Swift,Maruti,2017,220000,30874,Petrol
Maruti Suzuki Wagon,Maruti,2013,85000,29685,Petrol
Tata Indigo eCS,Tata,2017,200000,130000,Diesel
Tata Indigo eCS,Tata,2017,200000,130000,Diesel
Maruti Suzuki Stingray,Maruti,2015,315000,30000,Petrol
Maruti Suzuki A,Maruti,2011,189500,12500,Petrol
Maruti Suzuki Swift,Maruti,2014,390000,35000,Petrol
Maruti Suzuki Swift,Maruti,2013,372000,13349,Petrol
Maruti Suzuki Ertiga,Maruti,2016,635000,29000,Petrol
Maruti Suzuki Ertiga,Maruti,2016,575000,29000,Petrol
Maruti Suzuki Ertiga,Maruti,2013,485000,42000,Diesel
Maruti Suzuki Alto,Maruti,2012,155000,14000,Petrol
Maruti Suzuki Eeco,Maruti,2015,251111,55000,Petrol
Maruti Suzuki Ertiga,Maruti,2014,569999,45000,Petrol
Maruti Suzuki Esteem,Maruti,2007,69999,51000,Petrol
Maruti Suzuki Ritz,Maruti,2014,299999,19000,Petrol
Maruti Suzuki Dzire,Maruti,2009,220000,46000,Petrol
Maruti Suzuki Ritz,Maruti,2013,399999,33000,Diesel
Maruti Suzuki Swift,Maruti,2013,372000,13349,Petrol
Maruti Suzuki Dzire,Maruti,2015,450000,104000,Diesel
Maruti Suzuki Alto,Maruti,2017,350000,5600,Petrol
Maruti Suzuki Swift,Maruti,2007,125000,70000,Petrol
Maruti Suzuki Alto,Maruti,2018,200000,7500,Petrol
Maruti Suzuki Alto,Maruti,2015,220000,38000,Petrol
Maruti Suzuki Swift,Maruti,2013,340000,41000,Petrol
Tata Indica V2,Tata,2006,90000,20000,Petrol
Maruti Suzuki Alto,Maruti,2018,310000,3000,Petrol
Maruti Suzuki Swift,Maruti,2010,189500,38500,Diesel
Maruti Suzuki Swift,Maruti,2010,159500,43200,Diesel
Tata Indigo CS,Tata,2011,85000,11400,Diesel
Maruti Suzuki Swift,Maruti,2011,209000,47000,Diesel
Maruti Suzuki Wagon,Maruti,2012,199999,44000,Petrol
Tata Indigo eCS,Tata,2016,320000,175430,Diesel
Maruti Suzuki Ciaz,Maruti,2016,700000,3350,Petrol
Maruti Suzuki Zen,Maruti,2000,55000,60000,Petrol
Maruti Suzuki Alto,Maruti,2011,145000,41000,Petrol
Maruti Suzuki Wagon,Maruti,2011,210000,35000,Petrol
Tata Nano Cx,Tata,2013,40000,2200,Petrol
Maruti Suzuki Alto,Maruti,2013,125000,39000,Petrol
Maruti Suzuki Wagon,Maruti,2009,135000,45000,Petrol
Maruti Suzuki Swift,Maruti,2006,135000,45000,Petrol
Tata Sumo Victa,Tata,2012,285000,65000,Diesel
Maruti Suzuki Wagon,Maruti,2010,145000,54870,Petrol
Maruti Suzuki Alto,Maruti,2010,135000,34580,Petrol
Maruti Suzuki SX4,Maruti,2012,265000,46000,Diesel
